ImageID,dice
001,0.8463844829948306
002,0.8130815236583364
003,0.7489579704762805
004,0.8004529105246222
005,0.8104891501528504
006,0.7715275838200648
007,0.7442165915227209
008,0.7852771622189392
009,0.80064372774752
010,0.7920219453472721
011,0.7316397055452349
012,0.7869596471338134
013,0.7967455640722719
014,0.7041792201528894
015,0.7579508804859225
016,0.7860720198836103
017,0.8308267675536128
018,0.8254658319771043
019,0.7873165936832377
020,0.8017456058788808
021,0.8071028204798949
022,0.8396666827069408
023,0.5727834766232258
024,0.5927880161711225
025,0.8064932037383354
026,0.7783944766201405
027,0.8545566202987596
028,0.8628760599162849
029,0.8056226798155862
030,0.797258693022442
031,0.6909989708474579
032,0.769443707633748
033,0.7598942709994624
034,0.6803222205902996
035,0.7570055971698894
036,0.6637357809963005
037,0.7343194144470709
038,0.7386262667852002
039,0.7128170638048584
040,0.642182200328622
041,0.8590644959567654
042,0.008914999691374662
043,0.7658645379151323
044,0.6501105936417155
045,0.6736759098969342
046,0.6581353424617911
047,0.6489445798093187
048,0.6550051224183411
049,0.6751786942616886
050,0.6341721512225474
051,0.852689227261259
052,0.7330301059025469
053,0.7998646834278653
054,0.8315544339630535
055,0.8085872341522367
056,0.802872215953961
057,0.5279301054799246
058,0.7329453530437728
059,0.7345309176432634
060,0.7738760028087961
061,0.7488196501220769
062,0.7623017246784144
063,0.7671930913363552
064,0.7775186635617577
065,0.787130638758893
066,0.8051704935037733
067,0.7625132692760473
068,0.5515655192134258
069,0.7472403484811047
070,0.8188703575608921
071,0.6959129096694402
072,0.758745572517197
073,0.8332417669897347
074,0.8031983784619271
075,0.7206851160475108
076,0.8236712259628772
077,0.8093045115621946
078,0.7758689764917505
079,0.751290724966885
080,0.8660679559979867
081,0.6665780020505554
082,0.7660272756088754
083,0.850026220257442
084,0.9048150806372385
085,0.8610736132435599
086,0.7875130435824291
087,0.7504615199127703
088,0.8649798121159524
089,0.8598313553153814
090,0.791917387022653
091,0.7769252355787069
092,0.7798893378034226
093,0.8997006015093022
094,0.7904516513269066
095,0.8558010928143651
096,0.8306015306620713
097,0.7194571347753282
098,0.8956986826750472
099,0.7970708662187687
100,0.7977069826075848
101,0.9124826697948039
102,0.7269047850292222
103,0.7880851296386036
104,0.5701034170066211
105,0.8049053254918296
106,0.7447715121991411
107,0.7995629554810391
108,0.7295627322935062
109,0.80701128826809
110,0.7723769164706049
111,0.7685891728592049
112,0.8076887695114715
113,0.7995579841454964
114,0.7936630314605874
115,0.8319751200700711
116,0.8266085611043918
117,0.6413577902075809
118,0.8262093928710692
201,0.46930807411043707
202,0.8844386660773131
203,0.3520847002229388
204,0.8315144809513519
205,0.7646283699665308
206,0.7571863506115969
207,0.8721563595257248
208,0.7437177207547142
301,0.6211030295059156
302,0.7151975507531814
303,0.39362885536592945
304,0.697426500815497
305,0.7685071657374237
306,0.8419700870951154
307,0.7570254839948997
308,0.6753974340326991
309,0.5676605157576334
310,0.5940704937751122
311,0.4900786882184207
312,0.7945150077117585
313,0.8112907468526663
314,0.9059223053795074
315,0.7180637378823003
316,0.78137948610092
317,0.7624734533451119
318,0.7124121311889525
319,0.8756318184005893
320,0.885985156323858
321,0.34412161550980264
322,0.7632113870801112
323,0.6134372796470314
324,0.7999139185839711
325,0.876331579191346
326,0.8014828196918529
327,0.6601128083343457
328,0.7522882805335018
329,0.5950163198750703
