ImageID,IoU
001,0.7472283841770689
002,0.6952121459898319
003,0.6201248079553447
004,0.6793327184491871
005,0.6842105295747107
006,0.6356674000474026
007,0.5981417003700151
008,0.6550185899255123
009,0.6743362860678205
010,0.6666666700133869
011,0.5860805911345471
012,0.6523178819459672
013,0.6702928884088163
014,0.5460992961453984
015,0.6239316303601431
016,0.6558704499882531
017,0.7237654363616445
018,0.7107601213152999
019,0.6545831193444686
020,0.6764418408949967
021,0.6831140368250327
022,0.732569246740357
023,0.4032444982493453
024,0.42965917538194637
025,0.690196082481097
026,0.6462212525057913
027,0.7532861501184414
028,0.7710651846497203
029,0.6829470224921604
030,0.6686807686940507
031,0.5377187716492531
032,0.6290438560097494
033,0.6277777819135801
034,0.5255692440254973
035,0.6170923386697598
036,0.5036956532528356
037,0.5857011934660806
038,0.585699268289177
039,0.5606242549744987
040,0.4777549659291241
041,0.7603195754972065
042,0.004610956745758174
043,0.6366843097586541
044,0.49310345264565986
045,0.5146252329558937
046,0.492317544863524
047,0.48263254586259097
048,0.4984488159415841
049,0.5139949233080172
050,0.46528926061744413
051,0.7525855230502345
052,0.5864892570471929
053,0.6740914457902527
054,0.7171717187588568
055,0.6878267387018168
056,0.6871508438146956
057,0.36057693076229647
058,0.5895196566299904
059,0.5883171128189553
060,0.6350777960744145
061,0.6081708485778008
062,0.6210045705364775
063,0.6306976778539751
064,0.6455026486287244
065,0.6572327070972271
066,0.6784313746507753
067,0.6250980421560938
068,0.38279873322947217
069,0.6027263914048063
070,0.7030386781348249
071,0.5402597426480014
072,0.617966440099048
073,0.7237728611763921
074,0.6789215712506408
075,0.5680473396016819
076,0.7069425920764847
077,0.6874682917936668
078,0.6428571457893502
079,0.6178770992415966
080,0.7759146358543092
081,0.5051658536967599
082,0.6400449984246906
083,0.7527881063867277
084,0.8363691565380414
085,0.7668604664717414
086,0.6591695560697308
087,0.6143024664208386
088,0.7832244032328496
089,0.7717190409268111
090,0.6670838569018532
091,0.6435160084453825
092,0.6502127689343594
093,0.8257745847547793
094,0.6662693722733091
095,0.75750000303125
096,0.7225747985260671
097,0.5659095248841727
098,0.8207547186721252
099,0.672268911497372
100,0.6783310945042921
101,0.8452571004844043
102,0.5857348718093124
103,0.6625282205132255
104,0.39657980947410576
105,0.6909090955922864
106,0.60620525529588
107,0.6789062525085449
108,0.5759444905478451
109,0.6813681396816549
110,0.6387726689153045
111,0.6302142093549694
112,0.6864801901342635
113,0.6768361618436591
114,0.667054718660597
115,0.720873788101494
116,0.7151741328958441
117,0.473226241812408
118,0.7103064107199664
201,0.30589544709793715
202,0.8035714355867345
203,0.21044046965023705
204,0.7167371307716063
205,0.632075506407971
206,0.6228813599271043
207,0.7864906848874946
208,0.6299694302761643
301,0.4578005184424486
302,0.5665137714102346
303,0.25114504388438896
304,0.54478842362193
305,0.6350685901599217
306,0.7465886988969065
307,0.6186046600324497
308,0.5168539386160557
309,0.3983918172632177
310,0.42975734537114507
311,0.3282302551853628
312,0.6639511270071053
313,0.6875934276891864
314,0.8446215201346008
315,0.5708200258698612
316,0.6531850388960057
317,0.6278637793940324
318,0.5620052828231493
319,0.7960140703867049
320,0.8072122066074049
321,0.21093756164550298
322,0.6289308205272734
323,0.4486873639931417
324,0.6763819128001818
325,0.7980132517214156
326,0.6834319557846947
327,0.5053497983098781
328,0.6149012601893962
329,0.43159486446262385
